rs10004195	Lesion of stomach
rs10069690	Diabetes Mellitus
rs10069690	Epithelial ovarian cancer
rs10069690	Malignant neoplasm of breast
rs10069690	Polymyositis
rs10070190	Anorexia Nervosa
rs10070190	Obsessive-Compulsive Disorder
rs10070190	Osteochondritis Dissecans
rs1007888	Diabetes Mellitus, Non-Insulin-Dependent
rs1007888	Gestational Diabetes
rs10079250	Carcinoma of lung
rs10079250	Malignant neoplasm of lung
rs10085109	Alzheimer's Disease
rs1008588	Autoimmune Diseases
rs1008588	Vitiligo
rs1008805	Breast Carcinoma
rs1008805	Malignant neoplasm of breast
rs1009153	Schizophrenia
rs1011313	Schizophrenia
rs10118570	Schistosomiasis japonica
rs10118570	Squamous cell carcinoma of lung
rs1011970	Breast Carcinoma
rs1011970	Malignant neoplasm of breast
rs1012053	Bipolar Disorder
rs1012068	Hepatitis B
rs1012068	Hepatitis C, Chronic
rs1012068	Liver carcinoma
rs10137082	Diabetes Mellitus, Insulin-Dependent
rs10137082	Kidney Failure
rs10137082	Kidney Failure, Chronic
rs1014290	Diabetes Mellitus, Non-Insulin-Dependent
rs10145182	Breast Carcinoma
rs10145182	Malignant neoplasm of breast
rs10145182	Malignant neoplasm of pancreas
rs10145182	Pancreatic carcinoma
rs10146997	Obesity, Abdominal
rs1014971	Bladder Neoplasm
rs1014971	Carcinoma of bladder
rs1014971	Malignant neoplasm of urinary bladder
rs1015213	Angle Closure Glaucoma
rs1015213	Primary angle-closure glaucoma
rs1015443	alcohol use disorder
rs10156191	Migraine Disorders
rs1016140	Neuromyelitis Optica
rs10166942	Migraine Disorders
rs10168266	Lupus Erythematosus, Systemic
rs10169372	Breast Carcinoma
rs10169372	Malignant neoplasm of breast
rs1017	Congenital heart disease
rs1017	Coronary heart disease
rs10181656	Arthritis, Psoriatic
rs10181656	Lupus Erythematosus, Systemic
rs10181656	Rheumatoid Arthritis
rs10181656	Ulcerative Colitis
rs1019238	Cannabis Dependence
rs1019238	Marijuana Abuse
rs10197862	Asthma
rs10197862	Hay fever
rs10204475	Cerebrovascular accident
rs10204475	Ischemic Cerebrovascular Accident
rs10204475	Ischemic stroke
rs10206899	Chronic Kidney Diseases
rs10206899	Chronic Kidney Insufficiency
rs10206899	Finding of creatinine level
rs10206899	Glomerular filtration rate finding
rs10206899	Kidney Diseases
rs1020760	Psoriasis
rs10228265	Malignant neoplasm of ovary
rs10228265	Ovarian Carcinoma
rs1024611	Breast Carcinoma
rs1024611	Lupus Erythematosus, Systemic
rs1024611	Lupus Nephritis
rs1024611	Malignant neoplasm of breast
rs10246939	Adenomatous polyp of colon
rs10246939	Craniosynostosis
rs10269148	Azoospermia
rs10269148	Oligospermia
rs10273639	Pancreatitis
rs10273639	Pancreatitis, Chronic
rs10276036	CNS disorder
rs10282458	Metabolic Syndrome X
rs102834	Migraine Disorders
rs1029273	Creutzfeldt-Jakob Disease, Sporadic
rs10336	Fibrosis, Liver
rs1034200	Benign neoplasm of cornea
rs1034200	Corneal Diseases
rs1034200	Malignant neoplasm of cornea
rs1034428	Schizophrenia
rs1035142	Adenocarcinoma Of Esophagus
rs1035142	Squamous cell carcinoma of esophagus
rs1035938	Meningioma
rs1035938	Meningioma, benign, no ICD-O subtype
rs1038304	Osteoporosis
rs1039002	Alcoholic Intoxication, Chronic
rs1039002	Bipolar Disorder
rs1039002	Substance abuse problem
rs10399805	invasive cancer
rs10399805	Schizophrenia
rs10399931	Asthma
rs10399931	Coronary heart disease
rs10399931	Sarcoidosis
rs1040079	Leprosy
rs1040079	PARKINSON DISEASE, LATE-ONSET
rs1040288	Hypertensive disease
rs1040288	Metabolic Syndrome X
rs10404257	Kidney Failure
rs10404257	Kidney Failure, Chronic
rs10407022	Ovarian Diseases
rs10410544	Depressive disorder
rs10410544	Mental Depression
rs10419226	Adenocarcinoma Of Esophagus
rs10419226	Barrett Esophagus
rs10419226	Digestive System Disorders
rs1041981	Breast Carcinoma
rs1041981	Cardiovascular Diseases
rs1041981	Colorectal Cancer
rs1041981	Colorectal Carcinoma
rs1041981	Diabetes Mellitus, Non-Insulin-Dependent
rs1041981	Fatigue
rs1041981	Malignant neoplasm of breast
rs1041981	Metabolic Syndrome X
rs1041981	Tuberculosis, Pulmonary
rs1042031	Breast Carcinoma
rs1042031	Calcific stenosis
rs1042031	Carotid Atherosclerosis
rs1042031	Coronary Artery Disease
rs1042031	Diabetes Mellitus, Non-Insulin-Dependent
rs1042031	Hashimoto Disease
rs1042031	Malignant neoplasm of breast
rs1042173	Alcoholic Intoxication, Chronic
rs1042173	Autistic Disorder
rs1042173	Headache
rs10421768	Hereditary hemochromatosis
rs10421916	Malignant neoplasm of stomach
rs10421916	Stomach Carcinoma
rs1042389	Hirschsprung Disease
rs1042389	Hirschsprung disease 1
rs1042389	Male infertility
rs1042522	Adenocarcinoma
rs1042522	Adenocarcinoma Of Esophagus
rs1042522	Adenocarcinoma of large intestine
rs1042522	Amyotrophic Lateral Sclerosis, Sporadic
rs1042522	Bladder Neoplasm
rs1042522	Blast Phase
rs1042522	Brain Neoplasms
rs1042522	Breast Cancer, Familial
rs1042522	Breast Carcinoma
rs1042522	Carcinogenesis
rs1042522	Carcinoma of bladder
rs1042522	Carcinoma of lung
rs1042522	Cerebrovascular accident
rs1042522	cervical cancer squamous cell
rs1042522	Cervical Intraepithelial Neoplasia
rs1042522	Cervix carcinoma
rs1042522	Chronic Lymphocytic Leukemia
rs1042522	Colorectal Cancer
rs1042522	Colorectal Carcinoma
rs1042522	Congenital chromosomal disease
rs1042522	Cutaneous Melanoma
rs1042522	Diabetes Mellitus
rs1042522	Diabetes Mellitus, Non-Insulin-Dependent
rs1042522	Dissecting aneurysm of the thoracic aorta
rs1042522	Endometrial Carcinoma
rs1042522	Endometriosis
rs1042522	Epithelial ovarian cancer
rs1042522	Esophageal carcinoma
rs1042522	Esophageal Neoplasms
rs1042522	Experimental Organism Basal Cell Carcinoma
rs1042522	Febrile Neutropenia
rs1042522	Gallbladder Carcinoma
rs1042522	Gastric Cardia Adenocarcinoma
rs1042522	Gastric Cardia Carcinoma
rs1042522	Gastroesophageal reflux disease
rs1042522	Glaucoma
rs1042522	Glaucoma, Primary Open Angle
rs1042522	Glioblastoma
rs1042522	Glioma
rs1042522	Hepatitis
rs1042522	Hepatitis A
rs1042522	Hepatitis B
rs1042522	Hepatitis B, Chronic
rs1042522	Hereditary Nonpolyposis Colorectal Cancer
rs1042522	Hereditary pancreatitis
rs1042522	HIV Infections
rs1042522	Hodgkin Disease
rs1042522	Huntington Disease
rs1042522	Ichthyosis, X-Linked
rs1042522	Infiltrating Cervical Carcinoma
rs1042522	Keloid
rs1042522	Leukemia, Lymphocytic, Acute, L1
rs1042522	Leukemia, Myelocytic, Acute
rs1042522	Leukopenia
rs1042522	Li-Fraumeni Syndrome
rs1042522	Lip and Oral Cavity Carcinoma
rs1042522	Liver carcinoma
rs1042522	Lupus Erythematosus, Systemic
rs1042522	Lymphoma
rs1042522	Lymphoma, Large-Cell, Follicular
rs1042522	Lymphoma, Non-Hodgkin
rs1042522	Malignant neoplasm of breast
rs1042522	Malignant neoplasm of endometrium
rs1042522	Malignant neoplasm of esophagus
rs1042522	Malignant neoplasm of gallbladder
rs1042522	Malignant neoplasm of lung
rs1042522	Malignant neoplasm of mouth
rs1042522	Malignant neoplasm of oropharynx
rs1042522	Malignant neoplasm of ovary
rs1042522	Malignant neoplasm of pancreas
rs1042522	Malignant neoplasm of prostate
rs1042522	Malignant neoplasm of skin
rs1042522	Malignant neoplasm of stomach
rs1042522	Malignant neoplasm of thyroid
rs1042522	Malignant neoplasm of urinary bladder
rs1042522	Malignant tumor of cervix
rs1042522	Mammary Neoplasms
rs1042522	Medulloblastoma
rs1042522	melanoma
rs1042522	Multiple Myeloma
rs1042522	Multiple tumors
rs1042522	Mycosis Fungoides
rs1042522	MYELODYSPLASTIC SYNDROME
rs1042522	Nasopharyngeal carcinoma
rs1042522	Neoplasm Metastasis
rs1042522	Neutropenia
rs1042522	Non-Small Cell Lung Carcinoma
rs1042522	oligodendroglioma
rs1042522	Oropharyngeal Carcinoma
rs1042522	Osteosarcoma
rs1042522	Osteosarcoma of bone
rs1042522	Ovarian Carcinoma
rs1042522	Pancreatic carcinoma
rs1042522	Papillary thyroid carcinoma
rs1042522	Papillomavirus Infections
rs1042522	Preleukemia
rs1042522	Premenopausal breast cancer
rs1042522	Proliferative vitreoretinopathy
rs1042522	Prostate Cancer, Hereditary, 7
rs1042522	Prostate carcinoma
rs1042522	Renal Cell Carcinoma
rs1042522	Rheumatoid Arthritis
rs1042522	Salivary Gland Neoplasms
rs1042522	Sarcoma
rs1042522	Schizophrenia
rs1042522	Small cell lung cancer extensive stage
rs1042522	Solid tumour
rs1042522	Sporadic Breast Carcinoma
rs1042522	Squamous cell carcinoma
rs1042522	Squamous cell carcinoma of esophagus
rs1042522	Squamous cell carcinoma of lung
rs1042522	Squamous cell carcinoma of the head and neck
rs1042522	Squamous intraepithelial lesion
rs1042522	Stomach Carcinoma
rs1042522	Thyroid carcinoma
rs1042522	Transitional cell carcinoma of bladder
rs1042522	Treatment related acute myeloid leukaemia
rs1042522	Ulcerative Colitis
rs1042522	Undifferentiated carcinoma
rs1042522	Uterine Cervical Neoplasm
rs1042522	Uterine Corpus Cancer
rs1042522	Well Differentiated Oligodendroglioma
rs1042522	Xeroderma Pigmentosum, Complementation Group D
rs1042579	Exercise-induced angina
rs1042636	Hypercalcemia
rs1042636	Hypercalciuria
rs1042636	Hyperparathyroidism
rs1042636	Hyperparathyroidism, Primary
rs1042636	Hyperparathyroidism, Secondary
rs1042636	Idiopathic hypercalciuria
rs1042636	Kidney Failure
rs1042636	Obesity
rs1042636	Parathyroid Gland Adenocarcinoma
rs1042636	Vitamin D Deficiency
rs1042711	Childhood asthma
rs1042711	Hypertensive disease
rs1042711	Metabolic Syndrome X
rs1042713	Acute Coronary Syndrome
rs1042713	Allergic sensitization
rs1042713	Aortic Aneurysm, Thoracic
rs1042713	Arteriosclerosis
rs1042713	Asthma
rs1042713	Atherosclerosis
rs1042713	Atopic IgE-mediated allergic disorder
rs1042713	Cardiovascular Diseases
rs1042713	Childhood asthma
rs1042713	Chronic Obstructive Airway Disease
rs1042713	Congestive heart failure
rs1042713	Coronary Artery Disease
rs1042713	Diabetes Mellitus, Non-Insulin-Dependent
rs1042713	Essential Hypertension
rs1042713	Heart failure
rs1042713	Hypertensive disease
rs1042713	Hypotension Adverse Event
rs1042713	Intermittent Claudication
rs1042713	Interstitial Cystitis
rs1042713	Kidney Failure
rs1042713	Kidney Failure, Chronic
rs1042713	Major Depressive Disorder
rs1042713	Metabolic Syndrome X
rs1042713	Mild persistent asthma
rs1042713	Myocardial Infarction
rs1042713	Obesity
rs1042713	Overweight
rs1042713	Primary congenital glaucoma
rs1042713	Stress, Psychological
rs1042713	Unipolar Depression
rs1042714	Acute Coronary Syndrome
rs1042714	Allergic sensitization
rs1042714	Aortic Aneurysm, Thoracic
rs1042714	Asthma
rs1042714	Cardiovascular Diseases
rs1042714	Cerebral Palsy
rs1042714	Cerebrovascular accident
rs1042714	Childhood asthma
rs1042714	Chronic heart failure
rs1042714	Chronic Kidney Diseases
rs1042714	Chronic Obstructive Airway Disease
rs1042714	Congestive heart failure
rs1042714	Coronary Artery Disease
rs1042714	Heart failure
rs1042714	Hypertensive disease
rs1042714	Impaired glucose tolerance
rs1042714	Intermittent Claudication
rs1042714	Meningitis, Bacterial
rs1042714	Metabolic Syndrome X
rs1042714	Myocardial Infarction
rs1042714	Obesity
rs1042714	Obesity, Morbid
rs1042714	Ovarian Diseases
rs1042714	Overweight
rs1042714	Primary congenital glaucoma
rs10428132	Brugada Syndrome (disorder)
rs10433310	Sleep Apnea, Obstructive
rs1044396	Dementia
rs1044396	Nicotine Dependence
rs1044396	Presenile dementia
rs1044498	Cardiovascular Diseases
rs1044498	Cerebrovascular accident
rs1044498	Diabetes Mellitus, Non-Insulin-Dependent
rs1044498	Diabetic Nephropathy
rs10447248	Metabolic Syndrome X
rs1045485	Brain Tumor, Primary
rs1045485	Breast Cancer, Familial
rs1045485	Breast Carcinoma
rs1045485	Cancer of Head and Neck
rs1045485	Carcinogenesis
rs1045485	Central neuroblastoma
rs1045485	Chronic Lymphocytic Leukemia
rs1045485	Colorectal Cancer
rs1045485	Colorectal Carcinoma
rs1045485	Disorder of Achilles tendon
rs1045485	Glioma
rs1045485	Malignant neoplasm of breast
rs1045485	Malignant neoplasm of ovary
rs1045485	Malignant neoplasm of pancreas
rs1045485	Malignant neoplasm of prostate
rs1045485	Meningioma
rs1045485	Meningioma, benign, no ICD-O subtype
rs1045485	Multiple tumors
rs1045485	Neuroblastoma
rs1045485	Ovarian Carcinoma
rs1045485	Pancreatic carcinoma
rs1045485	Prostate carcinoma
rs1045485	Tendinopathy
rs1045494	Breast Carcinoma
rs1045494	Malignant neoplasm of breast
rs10455872	Aortic valve calcification
rs10455872	AORTIC VALVE DISEASE 2
rs10455872	Aortic Valve Stenosis
rs10455872	Calcific stenosis
rs10455872	Coronary Artery Disease
rs10455872	Coronary heart disease
rs10455872	Diabetes
rs10455872	Diabetes Mellitus
rs10455872	Intermittent Claudication
rs1045642	Acute Coronary Syndrome
rs1045642	Acute leukemia
rs1045642	Acute lymphocytic leukemia
rs1045642	Adenocarcinoma of large intestine
rs1045642	Adult Acute Myeloblastic Leukemia
rs1045642	Alzheimer's Disease
rs1045642	Asthenia
rs1045642	Behcet Syndrome
rs1045642	Bipolar Disorder
rs1045642	Breast Carcinoma
rs1045642	Cancer pain
rs1045642	Cannabis Dependence
rs1045642	Carcinogenesis
rs1045642	Carcinoma of lung
rs1045642	Cerebrovascular accident
rs1045642	Chronic Lymphocytic Leukemia
rs1045642	Chronic pain
rs1045642	COLCHICINE RESISTANCE
rs1045642	Colon Carcinoma
rs1045642	Colorectal Cancer
rs1045642	Colorectal cancer metastatic
rs1045642	Colorectal Carcinoma
rs1045642	Colorectal Neoplasms
rs1045642	Congenital Heart Defects
rs1045642	Coronary Arteriosclerosis
rs1045642	Coronary Artery Disease
rs1045642	Coronary heart disease
rs1045642	Crohn Disease
rs1045642	Depressive disorder
rs1045642	Diabetes Mellitus, Non-Insulin-Dependent
rs1045642	Diarrhea
rs1045642	Diffuse Large B-Cell Lymphoma
rs1045642	Drug Resistant Epilepsy
rs1045642	Endometrial Carcinoma
rs1045642	Epilepsies, Partial
rs1045642	Epilepsy
rs1045642	Epilepsy, Generalized
rs1045642	Epilepsy, Temporal Lobe
rs1045642	Epithelial ovarian cancer
rs1045642	Epithelioma
rs1045642	Esophageal carcinoma
rs1045642	Esophageal Neoplasms
rs1045642	Familial Mediterranean Fever
rs1045642	Gastritis
rs1045642	Glioblastoma
rs1045642	Glioma
rs1045642	Glomerulonephritis
rs1045642	Heart Septal Defects
rs1045642	Helicobacter pylori (H. pylori) infection in conditions classified elsewhere and of unspecified site
rs1045642	Helicobacter pylori infection
rs1045642	HIV Infections
rs1045642	Hodgkin Disease
rs1045642	Homocysteinemia
rs1045642	Hypercholesterolemia
rs1045642	Hyperhomocysteinemia
rs1045642	Inflammatory Bowel Diseases
rs1045642	Juvenile arthritis
rs1045642	Juvenile rheumatoid arthritis
rs1045642	Kidney Failure
rs1045642	leukemia
rs1045642	Leukemia, Lymphocytic, Acute, L1
rs1045642	Leukopenia
rs1045642	Liver carcinoma
rs1045642	Major Depressive Disorder
rs1045642	Malignant neoplasm of breast
rs1045642	Malignant neoplasm of endometrium
rs1045642	Malignant neoplasm of esophagus
rs1045642	Malignant neoplasm of kidney
rs1045642	Malignant neoplasm of lung
rs1045642	Malignant neoplasm of ovary
rs1045642	Malignant neoplasm of stomach
rs1045642	Malignant tumor of colon
rs1045642	Mental Depression
rs1045642	Multiple Myeloma
rs1045642	Myeloid Leukemia, Chronic
rs1045642	Myocardial Infarction
rs1045642	Myocardial Ischemia
rs1045642	Myoclonic Epilepsy, Juvenile
rs1045642	Nephrotic Syndrome
rs1045642	Neutropenia
rs1045642	Non-Small Cell Lung Carcinoma
rs1045642	organic sexual dysfunction
rs1045642	Ovarian Carcinoma
rs1045642	Pain
rs1045642	Pain, Postoperative
rs1045642	Palmar-plantar erythrodysesthesia syndrome
rs1045642	Pancolitis
rs1045642	Peptic Ulcer
rs1045642	Precursor Cell Lymphoblastic Leukemia Lymphoma
rs1045642	Renal carcinoma
rs1045642	Rheumatoid Arthritis
rs1045642	Schizoaffective Disorder
rs1045642	Schizophrenia
rs1045642	Seizures
rs1045642	Sexual Dysfunction
rs1045642	Sickle Cell Dactylitis
rs1045642	Stomach Carcinoma
rs1045642	Ulcerative Colitis
rs1045642	Unipolar Depression
rs1045642	Uterine Corpus Cancer
rs1045642	vascular disease occlusive
rs1045642	Xeroderma Pigmentosum, Complementation Group D
rs1045881	Schizophrenia
rs10462020	Diabetes
rs10462020	Diabetes Mellitus
rs1046282	Carcinoma of lung
rs1046282	Malignant neoplasm of lung
rs1046428	Carcinoma of bladder
rs1046428	Malignant neoplasm of urinary bladder
rs10464870	Astrocytoma
rs10464870	Glioblastoma
rs10468017	Age related macular degeneration
rs10468017	Cardiovascular Diseases
rs10468017	Diabetes
rs10468017	Diabetes Mellitus
rs10468017	Drusen
rs10468017	Metabolic Syndrome X
rs10468473	Rheumatoid Arthritis
rs1047100	Benign Prostatic Hyperplasia
rs10473984	Depressive Symptoms
rs1047552	Coronary Arteriosclerosis
rs1047552	HIV Infections
rs1047768	Osteosarcoma
rs1047768	Osteosarcoma of bone
rs1047781	Colorectal Cancer
rs1047781	Colorectal Carcinoma
rs1047781	Neoplasm Metastasis
rs1047781	Psoriasis
rs1047840	Carcinogenesis
rs1047840	Liver carcinoma
rs1047964	Cardiovascular Diseases
rs1047964	Migraine Disorders
rs1048108	Cervix carcinoma
rs1048108	Malignant tumor of cervix
rs10483639	Mechanical pain
rs10483727	Glaucoma, Primary Open Angle
rs10483727	Low Tension Glaucoma
rs10483813	Breast Carcinoma
rs10483813	Malignant neoplasm of breast
rs10484561	Lymphoma, Follicular
rs10484879	Periodontitis
rs1048638	invasive cancer
rs10486567	Malignant neoplasm of prostate
rs10486567	Prostate carcinoma
rs10486567	Prostatic Neoplasms
rs1048661	Bilateral cataracts (disorder)
rs1048661	Cardiovascular Diseases
rs1048661	Cataract
rs1048661	Exfoliation Syndrome
rs1048661	Glaucoma
rs1048661	Glaucoma, Primary Open Angle
rs1048661	Low Tension Glaucoma
rs1048709	Age related macular degeneration
rs1048709	Diabetic Retinopathy
rs10487506	Depressive disorder
rs10487506	Mental Depression
rs10488631	Biliary cirrhosis
rs10488631	Lupus Erythematosus, Systemic
rs10488631	Primary biliary cirrhosis
rs10488631	Rheumatoid Arthritis
rs10488631	Sclerosis
rs10488631	Systemic Scleroderma
rs10489177	Ischemic Cerebrovascular Accident
rs10489177	Ischemic stroke
rs1048943	Acute leukemia
rs1048943	Adenocarcinoma
rs1048943	Adenocarcinoma of lung (disorder)
rs1048943	Asthma
rs1048943	Brain Neoplasms
rs1048943	Breast Carcinoma
rs1048943	Cancer of Head and Neck
rs1048943	Carcinogenesis
rs1048943	Carcinoma of ampulla of Vater
rs1048943	Carcinoma of bladder
rs1048943	Carcinoma of lung
rs1048943	Cervix carcinoma
rs1048943	Colorectal Cancer
rs1048943	Colorectal Carcinoma
rs1048943	Endometrial Carcinoma
rs1048943	Environmental Carcinogenesis
rs1048943	Fibroid Tumor
rs1048943	Gallbladder Carcinoma
rs1048943	Hereditary Nonpolyposis Colorectal Cancer
rs1048943	Homocysteinemia
rs1048943	Hyperhomocysteinemia
rs1048943	Lip and Oral Cavity Carcinoma
rs1048943	Lymphoma, Large-Cell, Follicular
rs1048943	Lymphoma, Non-Hodgkin
rs1048943	Male infertility
rs1048943	Malignant neoplasm of breast
rs1048943	Malignant neoplasm of endometrium
rs1048943	Malignant neoplasm of gallbladder
rs1048943	Malignant neoplasm of lung
rs1048943	Malignant neoplasm of ovary
rs1048943	Malignant neoplasm of prostate
rs1048943	Malignant neoplasm of urinary bladder
rs1048943	Malignant tumor of cervix
rs1048943	Non-Small Cell Lung Carcinoma
rs1048943	Oral Cavity Carcinoma
rs1048943	Ovarian Carcinoma
rs1048943	Ovarian Diseases
rs1048943	ovarian neoplasm
rs1048943	Polycystic Ovary Syndrome
rs1048943	Prostate carcinoma
rs1048943	Squamous cell carcinoma
rs1048943	Squamous cell carcinoma of lung
rs1048943	T-Cell Lymphoma
rs1048943	Uterine Corpus Cancer
rs1048943	Uterine Fibroids
rs1048943	vascular disease occlusive
rs10489629	Rheumatoid Arthritis
rs10489854	Eczema
rs1048990	Asthma
rs1048990	Cerebrovascular accident
rs1048990	Coronary Arteriosclerosis
rs1048990	Coronary Artery Disease
rs1048990	Coronary heart disease
rs1048990	Diabetes
rs1048990	Diabetes Mellitus
rs1048990	Diabetes Mellitus, Non-Insulin-Dependent
rs1048990	Myocardial Infarction
rs10490923	Age related macular degeneration
rs10490923	Macular degeneration
rs10490924	Age related macular degeneration
rs10490924	Diabetic Retinopathy
rs10490924	Drusen
rs10490924	Exudative age-related macular degeneration
rs10490924	Geographic Atrophy
rs10490924	Macular degeneration
rs10490924	Photopsia
rs10490924	Retinal Pigment Epithelial Detachment
rs10490924	Serous retinal detachment
rs10491434	Inflammatory Bowel Diseases
rs10491434	Ulcerative Colitis
rs10491734	Osteochondritis Dissecans
rs10492396	Cutaneous Melanoma
rs1049253	Squamous cell carcinoma of the head and neck
rs10492972	Mitral Valve Stenosis
rs10492972	Multiple Sclerosis
rs1049305	Non-Malignant Ascites Adverse Event
rs1049331	Hypertensive disease
rs10493340	Blood pressure finding
rs10493340	Systemic arterial pressure
rs1049353	Anhedonia
rs1049353	Autoimmune Diseases
rs1049353	Depressive disorder
rs1049353	Drug abuse
rs1049353	Marijuana Abuse
rs1049353	Mental Depression
rs1049353	Multiple Sclerosis
rs1049353	Schizophrenia
rs1049353	Ulcerative Colitis
rs1049430	Squamous cell carcinoma of the head and neck
rs10494366	cardiac event
rs10494366	Diabetes
rs10494366	Diabetes Mellitus
rs10494366	Superficial ulcer
rs10494366	Vascular occlusion
rs1049550	Sarcoidosis
rs1049606	Hepatocarcinogenesis
rs1049673	Coronary Arteriosclerosis
rs1049673	Coronary heart disease
rs1049793	Crohn Disease
rs1049817	Diabetes Mellitus, Non-Insulin-Dependent
rs1049817	Kidney Diseases
rs10498345	Coronary Artery Vasospasm
rs10499194	Rheumatoid Arthritis
rs10499563	Crohn Disease
rs10499563	Malignant neoplasm of stomach
rs10499563	Stomach Carcinoma
rs10499563	Ulcerative Colitis
rs10500355	Refractive Errors
rs10500715	Malignant neoplasm of pancreas
rs10501087	Depressive disorder
rs10501087	Mental Depression
rs10501087	Mental disorders
rs1050152	Crohn Disease
rs1050152	Inflammatory Bowel Diseases
rs1050152	Paratuberculosis
rs1050152	pathologic fistula
rs10501920	Atrial Fibrillation
rs10501920	Heart failure
rs1050298	Squamous cell carcinoma
rs10503253	INTELLIGENCE QUANTITATIVE TRAIT LOCUS 1
rs10503253	Schizophrenia
rs1050450	Carcinoma of bladder
rs1050450	Carcinoma of lung
rs1050450	Coronary heart disease
rs1050450	Diabetes Mellitus
rs1050450	Diabetes Mellitus, Non-Insulin-Dependent
rs1050450	Hypertensive disease
rs1050450	Kashin-Beck Disease
rs1050450	Malignant neoplasm of lung
rs1050450	Malignant neoplasm of prostate
rs1050450	Malignant neoplasm of urinary bladder
rs1050450	Peripheral Neuropathy
rs1050450	Prostate carcinoma
rs1050450	Prostatic Diseases
rs1050450	Restenosis
rs1050501	Asthma
rs1050501	Central Nervous System Infection
rs1050501	HIV Infections
rs1050501	Lupus Erythematosus, Systemic
rs1050501	Meningitis, Cryptococcal
rs1050501	Rheumatoid Arthritis
rs10505477	Breast Carcinoma
rs10505477	Colorectal Cancer
rs10505477	Colorectal Carcinoma
rs10505477	Malignant neoplasm of breast
rs10505477	Malignant neoplasm of stomach
rs10505477	Stomach Carcinoma
rs10507486	Diabetes Mellitus, Non-Insulin-Dependent
rs10509373	Breast Carcinoma
rs10509373	Malignant neoplasm of breast
rs10509676	Hypertensive disease
rs10510102	Breast Carcinoma
rs10510102	Malignant neoplasm of breast
rs1051266	Acute lymphocytic leukemia
rs1051266	Adenoma
rs1051266	Attention deficit hyperactivity disorder
rs1051266	Autistic Disorder
rs1051266	Breast Carcinoma
rs1051266	Central neuroblastoma
rs1051266	Cerebrovascular accident
rs1051266	Coronary Artery Disease
rs1051266	Coronary heart disease
rs1051266	Down Syndrome
rs1051266	Esophagitis
rs1051266	Homocysteinemia
rs1051266	Hyperhomocysteinemia
rs1051266	Juvenile arthritis
rs1051266	Juvenile rheumatoid arthritis
rs1051266	Leukemia, Lymphocytic, Acute, L1
rs1051266	Lymphoma, Large-Cell, Follicular
rs1051266	Lymphoma, Non-Hodgkin
rs1051266	Malignant neoplasm of breast
rs1051266	Nephroblastoma
rs1051266	Neuroblastoma
rs1051266	Obesity
rs1051266	Precursor Cell Lymphoblastic Leukemia Lymphoma
rs1051266	Precursor cell lymphoblastic lymphoma
rs1051266	Retinoblastoma
rs1051266	Rheumatoid Arthritis
rs1051266	Spina Bifida
rs1051266	Sporadic Breast Carcinoma
rs1051266	Squamous cell carcinoma of the head and neck
rs1051266	Stomatitis
rs1051295	Diabetes Mellitus, Non-Insulin-Dependent
rs10514611	Leukemia, Myelocytic, Acute
rs10514611	Myeloid Leukemia
rs10515115	Chronic schizophrenia
rs10515807	Asthma
